"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02779V03348","County","C02199V02655","Sex","UNIT","VALUE"
"FY001C01","Population at Each Census","1841","1841","24","Cavan","1","Male","Number","120814"
"FY001C01","Population at Each Census","1841","1841","24","Cavan","2","Female","Number","122344"
"FY001C01","Population at Each Census","1841","1841","25","Donegal","-","Both sexes","Number","296448"
"FY001C01","Population at Each Census","1841","1841","25","Donegal","1","Male","Number","145821"
"FY001C01","Population at Each Census","1841","1841","25","Donegal","2","Female","Number","150627"
"FY001C01","Population at Each Census","1841","1841","26","Monaghan","-","Both sexes","Number","200442"
"FY001C01","Population at Each Census","1841","1841","26","Monaghan","1","Male","Number","98071"
"FY001C01","Population at Each Census","1841","1841","26","Monaghan","2","Female","Number","102371"
"FY001C01","Population at Each Census","1851","1851","-","State","-","Both sexes","Number","5111557"
"FY001C01","Population at Each Census","1851","1851","-","State","1","Male","Number","2494478"
"FY001C01","Population at Each Census","1851","1851","-","State","2","Female","Number","2617079"
"FY001C01","Population at Each Census","1851","1851","01","Carlow","-","Both sexes","Number","68078"
"FY001C01","Population at Each Census","1851","1851","01","Carlow","1","Male","Number","33016"
"FY001C01","Population at Each Census","1851","1851","01","Carlow","2","Female","Number","35062"
"FY001C01","Population at Each Census","1851","1851","02","Dublin","-","Both sexes","Number","405147"
"FY001C01","Population at Each Census","1851","1851","02","Dublin","1","Male","Number","187286"
"FY001C01","Population at Each Census","1851","1851","02","Dublin","2","Female","Number","217861"
"FY001C01","Population at Each Census","1851","1851","03","Kildare","-","Both sexes","Number","95723"
"FY001C01","Population at Each Census","1851","1851","03","Kildare","1","Male","Number","48528"
"FY001C01","Population at Each Census","1851","1851","03","Kildare","2","Female","Number","47195"
"FY001C01","Population at Each Census","1851","1851","04","Kilkenny","-","Both sexes","Number","158748"
"FY001C01","Population at Each Census","1851","1851","04","Kilkenny","1","Male","Number","76493"
"FY001C01","Population at Each Census","1851","1851","04","Kilkenny","2","Female","Number","82255"
"FY001C01","Population at Each Census","1851","1851","05","Laois","-","Both sexes","Number","111664"
"FY001C01","Population at Each Census","1851","1851","05","Laois","1","Male","Number","55556"
"FY001C01","Population at Each Census","1851","1851","05","Laois","2","Female","Number","56108"
"FY001C01","Population at Each Census","1851","1851","06","Longford","-","Both sexes","Number","82348"
"FY001C01","Population at Each Census","1851","1851","06","Longford","1","Male","Number","41041"
"FY001C01","Population at Each Census","1851","1851","06","Longford","2","Female","Number","41307"
"FY001C01","Population at Each Census","1851","1851","07","Louth","-","Both sexes","Number","107662"
"FY001C01","Population at Each Census","1851","1851","07","Louth","1","Male","Number","52257"
"FY001C01","Population at Each Census","1851","1851","07","Louth","2","Female","Number","55405"
"FY001C01","Population at Each Census","1851","1851","08","Meath","-","Both sexes","Number","140748"
"FY001C01","Population at Each Census","1851","1851","08","Meath","1","Male","Number","70813"
"FY001C01","Population at Each Census","1851","1851","08","Meath","2","Female","Number","69935"
"FY001C01","Population at Each Census","1851","1851","09","Offaly","-","Both sexes","Number","112076"
"FY001C01","Population at Each Census","1851","1851","09","Offaly","1","Male","Number","55284"
"FY001C01","Population at Each Census","1851","1851","09","Offaly","2","Female","Number","56792"
"FY001C01","Population at Each Census","1851","1851","10","Westmeath","-","Both sexes","Number","111407"
"FY001C01","Population at Each Census","1851","1851","10","Westmeath","1","Male","Number","56095"
"FY001C01","Population at Each Census","1851","1851","10","Westmeath","2","Female","Number","55312"
"FY001C01","Population at Each Census","1851","1851","11","Wexford","-","Both sexes","Number","180158"
"FY001C01","Population at Each Census","1851","1851","11","Wexford","1","Male","Number","86938"
"FY001C01","Population at Each Census","1851","1851","11","Wexford","2","Female","Number","93220"
"FY001C01","Population at Each Census","1851","1851","12","Wicklow","-","Both sexes","Number","98979"
"FY001C01","Population at Each Census","1851","1851","12","Wicklow","1","Male","Number","50230"
"FY001C01","Population at Each Census","1851","1851","12","Wicklow","2","Female","Number","48749"
"FY001C01","Population at Each Census","1851","1851","13","Clare","-","Both sexes","Number","212440"
"FY001C01","Population at Each Census","1851","1851","13","Clare","1","Male","Number","103953"
"FY001C01","Population at Each Census","1851","1851","13","Clare","2","Female","Number","108487"
"FY001C01","Population at Each Census","1851","1851","14","Cork","-","Both sexes","Number","649308"
"FY001C01","Population at Each Census","1851","1851","14","Cork","1","Male","Number","318149"
"FY001C01","Population at Each Census","1851","1851","14","Cork","2","Female","Number","331159"
"FY001C01","Population at Each Census","1851","1851","15","Kerry","-","Both sexes","Number","238254"
"FY001C01","Population at Each Census","1851","1851","15","Kerry","1","Male","Number","116511"
"FY001C01","Population at Each Census","1851","1851","15","Kerry","2","Female","Number","121743"
"FY001C01","Population at Each Census","1851","1851","16","Limerick","-","Both sexes","Number","262132"
"FY001C01","Population at Each Census","1851","1851","16","Limerick","1","Male","Number","127387"
"FY001C01","Population at Each Census","1851","1851","16","Limerick","2","Female","Number","134745"
"FY001C01","Population at Each Census","1851","1851","17","Tipperary","-","Both sexes","Number","331567"
"FY001C01","Population at Each Census","1851","1851","17","Tipperary","1","Male","Number","160024"
"FY001C01","Population at Each Census","1851","1851","17","Tipperary","2","Female","Number","171543"
"FY001C01","Population at Each Census","1851","1851","18","Waterford","-","Both sexes","Number","164035"
"FY001C01","Population at Each Census","1851","1851","18","Waterford","1","Male","Number","78955"
"FY001C01","Population at Each Census","1851","1851","18","Waterford","2","Female","Number","85080"
"FY001C01","Population at Each Census","1851","1851","19","Galway","-","Both sexes","Number","321684"
"FY001C01","Population at Each Census","1851","1851","19","Galway","1","Male","Number","157135"
"FY001C01","Population at Each Census","1851","1851","19","Galway","2","Female","Number","164549"
"FY001C01","Population at Each Census","1851","1851","20","Leitrim","-","Both sexes","Number","111897"
"FY001C01","Population at Each Census","1851","1851","20","Leitrim","1","Male","Number","56111"
"FY001C01","Population at Each Census","1851","1851","20","Leitrim","2","Female","Number","55786"
"FY001C01","Population at Each Census","1851","1851","21","Mayo","-","Both sexes","Number","274499"
"FY001C01","Population at Each Census","1851","1851","21","Mayo","1","Male","Number","133264"
"FY001C01","Population at Each Census","1851","1851","21","Mayo","2","Female","Number","141235"
"FY001C01","Population at Each Census","1851","1851","22","Roscommon","-","Both sexes","Number","173436"
"FY001C01","Population at Each Census","1851","1851","22","Roscommon","1","Male","Number","86411"
"FY001C01","Population at Each Census","1851","1851","22","Roscommon","2","Female","Number","87025"
"FY001C01","Population at Each Census","1851","1851","23","Sligo","-","Both sexes","Number","128515"
"FY001C01","Population at Each Census","1851","1851","23","Sligo","1","Male","Number","62881"
"FY001C01","Population at Each Census","1851","1851","23","Sligo","2","Female","Number","65634"
"FY001C01","Population at Each Census","1851","1851","24","Cavan","-","Both sexes","Number","174071"
"FY001C01","Population at Each Census","1851","1851","24","Cavan","1","Male","Number","86610"
"FY001C01","Population at Each Census","1851","1851","24","Cavan","2","Female","Number","87461"
"FY001C01","Population at Each Census","1851","1851","25","Donegal","-","Both sexes","Number","255158"
"FY001C01","Population at Each Census","1851","1851","25","Donegal","1","Male","Number","124723"
"FY001C01","Population at Each Census","1851","1851","25","Donegal","2","Female","Number","130435"
"FY001C01","Population at Each Census","1851","1851","26","Monaghan","-","Both sexes","Number","141823"
"FY001C01","Population at Each Census","1851","1851","26","Monaghan","1","Male","Number","68827"
"FY001C01","Population at Each Census","1851","1851","26","Monaghan","2","Female","Number","72996"
"FY001C01","Population at Each Census","1861","1861","-","State","-","Both sexes","Number","4402111"
"FY001C01","Population at Each Census","1861","1861","-","State","1","Male","Number","2169042"
"FY001C01","Population at Each Census","1861","1861","-","State","2","Female","Number","2233069"
"FY001C01","Population at Each Census","1861","1861","01","Carlow","-","Both sexes","Number","57137"
"FY001C01","Population at Each Census","1861","1861","01","Carlow","1","Male","Number","28139"
"FY001C01","Population at Each Census","1861","1861","01","Carlow","2","Female","Number","28998"
"FY001C01","Population at Each Census","1861","1861","02","Dublin","-","Both sexes","Number","410252"
"FY001C01","Population at Each Census","1861","1861","02","Dublin","1","Male","Number","191435"
"FY001C01","Population at Each Census","1861","1861","02","Dublin","2","Female","Number","218817"
"FY001C01","Population at Each Census","1861","1861","03","Kildare","-","Both sexes","Number","90946"
"FY001C01","Population at Each Census","1861","1861","03","Kildare","1","Male","Number","48960"
"FY001C01","Population at Each Census","1861","1861","03","Kildare","2","Female","Number","41986"
"FY001C01","Population at Each Census","1861","1861","04","Kilkenny","-","Both sexes","Number","124515"
"FY001C01","Population at Each Census","1861","1861","04","Kilkenny","1","Male","Number","60317"
"FY001C01","Population at Each Census","1861","1861","04","Kilkenny","2","Female","Number","64198"
"FY001C01","Population at Each Census","1861","1861","05","Laois","-","Both sexes","Number","90650"
"FY001C01","Population at Each Census","1861","1861","05","Laois","1","Male","Number","45112"
"FY001C01","Population at Each Census","1861","1861","05","Laois","2","Female","Number","45538"
"FY001C01","Population at Each Census","1861","1861","06","Longford","-","Both sexes","Number","71694"
"FY001C01","Population at Each Census","1861","1861","06","Longford","1","Male","Number","36044"
"FY001C01","Population at Each Census","1861","1861","06","Longford","2","Female","Number","35650"
"FY001C01","Population at Each Census","1861","1861","07","Louth","-","Both sexes","Number","90713"
"FY001C01","Population at Each Census","1861","1861","07","Louth","1","Male","Number","44241"
"FY001C01","Population at Each Census","1861","1861","07","Louth","2","Female","Number","46472"
"FY001C01","Population at Each Census","1861","1861","08","Meath","-","Both sexes","Number","110373"
"FY001C01","Population at Each Census","1861","1861","08","Meath","1","Male","Number","55800"
"FY001C01","Population at Each Census","1861","1861","08","Meath","2","Female","Number","54573"
"FY001C01","Population at Each Census","1861","1861","09","Offaly","-","Both sexes","Number","90043"
"FY001C01","Population at Each Census","1861","1861","09","Offaly","1","Male","Number","45513"
"FY001C01","Population at Each Census","1861","1861","09","Offaly","2","Female","Number","44530"
"FY001C01","Population at Each Census","1861","1861","10","Westmeath","-","Both sexes","Number","90879"
"FY001C01","Population at Each Census","1861","1861","10","Westmeath","1","Male","Number","46218"
"FY001C01","Population at Each Census","1861","1861","10","Westmeath","2","Female","Number","44661"
"FY001C01","Population at Each Census","1861","1861","11","Wexford","-","Both sexes","Number","143954"
"FY001C01","Population at Each Census","1861","1861","11","Wexford","1","Male","Number","69104"
"FY001C01","Population at Each Census","1861","1861","11","Wexford","2","Female","Number","74850"
"FY001C01","Population at Each Census","1861","1861","12","Wicklow","-","Both sexes","Number","86479"
"FY001C01","Population at Each Census","1861","1861","12","Wicklow","1","Male","Number","44122"
"FY001C01","Population at Each Census","1861","1861","12","Wicklow","2","Female","Number","42357"
"FY001C01","Population at Each Census","1861","1861","13","Clare","-","Both sexes","Number","166305"
"FY001C01","Population at Each Census","1861","1861","13","Clare","1","Male","Number","82541"
"FY001C01","Population at Each Census","1861","1861","13","Clare","2","Female","Number","83764"
"FY001C01","Population at Each Census","1861","1861","14","Cork","-","Both sexes","Number","544818"
"FY001C01","Population at Each Census","1861","1861","14","Cork","1","Male","Number","269637"
"FY001C01","Population at Each Census","1861","1861","14","Cork","2","Female","Number","275181"
"FY001C01","Population at Each Census","1861","1861","15","Kerry","-","Both sexes","Number","201800"
"FY001C01","Population at Each Census","1861","1861","15","Kerry","1","Male","Number","99999"
"FY001C01","Population at Each Census","1861","1861","15","Kerry","2","Female","Number","101801"
"FY001C01","Population at Each Census","1861","1861","16","Limerick","-","Both sexes","Number","217277"
"FY001C01","Population at Each Census","1861","1861","16","Limerick","1","Male","Number","105712"
"FY001C01","Population at Each Census","1861","1861","16","Limerick","2","Female","Number","111565"
"FY001C01","Population at Each Census","1861","1861","17","Tipperary","-","Both sexes","Number","249106"
"FY001C01","Population at Each Census","1861","1861","17","Tipperary","1","Male","Number","122483"
"FY001C01","Population at Each Census","1861","1861","17","Tipperary","2","Female","Number","126623"
"FY001C01","Population at Each Census","1861","1861","18","Waterford","-","Both sexes","Number","134252"
"FY001C01","Population at Each Census","1861","1861","18","Waterford","1","Male","Number","64310"
"FY001C01","Population at Each Census","1861","1861","18","Waterford","2","Female","Number","69942"
"FY001C01","Population at Each Census","1861","1861","19","Galway","-","Both sexes","Number","271478"
"FY001C01","Population at Each Census","1861","1861","19","Galway","1","Male","Number","134057"
"FY001C01","Population at Each Census","1861","1861","19","Galway","2","Female","Number","137421"
"FY001C01","Population at Each Census","1861","1861","20","Leitrim","-","Both sexes","Number","104744"
"FY001C01","Population at Each Census","1861","1861","20","Leitrim","1","Male","Number","52562"
"FY001C01","Population at Each Census","1861","1861","20","Leitrim","2","Female","Number","52182"
"FY001C01","Population at Each Census","1861","1861","21","Mayo","-","Both sexes","Number","254796"
"FY001C01","Population at Each Census","1861","1861","21","Mayo","1","Male","Number","125636"
"FY001C01","Population at Each Census","1861","1861","21","Mayo","2","Female","Number","129160"
"FY001C01","Population at Each Census","1861","1861","22","Roscommon","-","Both sexes","Number","157272"
"FY001C01","Population at Each Census","1861","1861","22","Roscommon","1","Male","Number","79841"
"FY001C01","Population at Each Census","1861","1861","22","Roscommon","2","Female","Number","77431"
"FY001C01","Population at Each Census","1861","1861","23","Sligo","-","Both sexes","Number","124845"
"FY001C01","Population at Each Census","1861","1861","23","Sligo","1","Male","Number","61939"
"FY001C01","Population at Each Census","1861","1861","23","Sligo","2","Female","Number","62906"
"FY001C01","Population at Each Census","1861","1861","24","Cavan","-","Both sexes","Number","153906"
"FY001C01","Population at Each Census","1861","1861","24","Cavan","1","Male","Number","77503"
"FY001C01","Population at Each Census","1861","1861","24","Cavan","2","Female","Number","76403"
"FY001C01","Population at Each Census","1861","1861","25","Donegal","-","Both sexes","Number","237395"
"FY001C01","Population at Each Census","1861","1861","25","Donegal","1","Male","Number","115875"
"FY001C01","Population at Each Census","1861","1861","25","Donegal","2","Female","Number","121520"
"FY001C01","Population at Each Census","1861","1861","26","Monaghan","-","Both sexes","Number","126482"
"FY001C01","Population at Each Census","1861","1861","26","Monaghan","1","Male","Number","61942"
"FY001C01","Population at Each Census","1861","1861","26","Monaghan","2","Female","Number","64540"
"FY001C01","Population at Each Census","1871","1871","-","State","-","Both sexes","Number","4053187"
"FY001C01","Population at Each Census","1871","1871","-","State","1","Male","Number","1992468"
"FY001C01","Population at Each Census","1871","1871","-","State","2","Female","Number","2060719"
"FY001C01","Population at Each Census","1871","1871","01","Carlow","-","Both sexes","Number","51650"
"FY001C01","Population at Each Census","1871","1871","01","Carlow","1","Male","Number","25464"
"FY001C01","Population at Each Census","1871","1871","01","Carlow","2","Female","Number","26186"
"FY001C01","Population at Each Census","1871","1871","02","Dublin","-","Both sexes","Number","405262"
"FY001C01","Population at Each Census","1871","1871","02","Dublin","1","Male","Number","188108"
"FY001C01","Population at Each Census","1871","1871","02","Dublin","2","Female","Number","217154"
"FY001C01","Population at Each Census","1871","1871","03","Kildare","-","Both sexes","Number","83614"
"FY001C01","Population at Each Census","1871","1871","03","Kildare","1","Male","Number","44946"
"FY001C01","Population at Each Census","1871","1871","03","Kildare","2","Female","Number","38668"
"FY001C01","Population at Each Census","1871","1871","04","Kilkenny","-","Both sexes","Number","109379"
"FY001C01","Population at Each Census","1871","1871","04","Kilkenny","1","Male","Number","52965"
"FY001C01","Population at Each Census","1871","1871","04","Kilkenny","2","Female","Number","56414"
"FY001C01","Population at Each Census","1871","1871","05","Laois","-","Both sexes","Number","79771"
"FY001C01","Population at Each Census","1871","1871","05","Laois","1","Male","Number","39843"
"FY001C01","Population at Each Census","1871","1871","05","Laois","2","Female","Number","39928"
"FY001C01","Population at Each Census","1871","1871","06","Longford","-","Both sexes","Number","64501"
"FY001C01","Population at Each Census","1871","1871","06","Longford","1","Male","Number","32512"
"FY001C01","Population at Each Census","1871","1871","06","Longford","2","Female","Number","31989"
"FY001C01","Population at Each Census","1871","1871","07","Louth","-","Both sexes","Number","84021"
"FY001C01","Population at Each Census","1871","1871","07","Louth","1","Male","Number","41033"
"FY001C01","Population at Each Census","1871","1871","07","Louth","2","Female","Number","42988"
"FY001C01","Population at Each Census","1871","1871","08","Meath","-","Both sexes","Number","95558"
"FY001C01","Population at Each Census","1871","1871","08","Meath","1","Male","Number","48437"
"FY001C01","Population at Each Census","1871","1871","08","Meath","2","Female","Number","47121"
"FY001C01","Population at Each Census","1871","1871","09","Offaly","-","Both sexes","Number","75900"
"FY001C01","Population at Each Census","1871","1871","09","Offaly","1","Male","Number","38307"
"FY001C01","Population at Each Census","1871","1871","09","Offaly","2","Female","Number","37593"
"FY001C01","Population at Each Census","1871","1871","10","Westmeath","-","Both sexes","Number","78432"
"FY001C01","Population at Each Census","1871","1871","10","Westmeath","1","Male","Number","39804"
"FY001C01","Population at Each Census","1871","1871","10","Westmeath","2","Female","Number","38628"
"FY001C01","Population at Each Census","1871","1871","11","Wexford","-","Both sexes","Number","132666"
"FY001C01","Population at Each Census","1871","1871","11","Wexford","1","Male","Number","64199"
"FY001C01","Population at Each Census","1871","1871","11","Wexford","2","Female","Number","68467"
"FY001C01","Population at Each Census","1871","1871","12","Wicklow","-","Both sexes","Number","78697"
"FY001C01","Population at Each Census","1871","1871","12","Wicklow","1","Male","Number","39496"
"FY001C01","Population at Each Census","1871","1871","12","Wicklow","2","Female","Number","39201"
"FY001C01","Population at Each Census","1871","1871","13","Clare","-","Both sexes","Number","147864"
"FY001C01","Population at Each Census","1871","1871","13","Clare","1","Male","Number","73442"
"FY001C01","Population at Each Census","1871","1871","13","Clare","2","Female","Number","74422"
"FY001C01","Population at Each Census","1871","1871","14","Cork","-","Both sexes","Number","517076"
"FY001C01","Population at Each Census","1871","1871","14","Cork","1","Male","Number","256062"
"FY001C01","Population at Each Census","1871","1871","14","Cork","2","Female","Number","261014"
"FY001C01","Population at Each Census","1871","1871","15","Kerry","-","Both sexes","Number","196586"
"FY001C01","Population at Each Census","1871","1871","15","Kerry","1","Male","Number","97913"
"FY001C01","Population at Each Census","1871","1871","15","Kerry","2","Female","Number","98673"
"FY001C01","Population at Each Census","1871","1871","16","Limerick","-","Both sexes","Number","191936"
"FY001C01","Population at Each Census","1871","1871","16","Limerick","1","Male","Number","93112"
"FY001C01","Population at Each Census","1871","1871","16","Limerick","2","Female","Number","98824"
"FY001C01","Population at Each Census","1871","1871","17","Tipperary","-","Both sexes","Number","216713"
"FY001C01","Population at Each Census","1871","1871","17","Tipperary","1","Male","Number","106499"
"FY001C01","Population at Each Census","1871","1871","17","Tipperary","2","Female","Number","110214"
"FY001C01","Population at Each Census","1871","1871","18","Waterford","-","Both sexes","Number","123310"
"FY001C01","Population at Each Census","1871","1871","18","Waterford","1","Male","Number","59078"
"FY001C01","Population at Each Census","1871","1871","18","Waterford","2","Female","Number","64232"
"FY001C01","Population at Each Census","1871","1871","19","Galway","-","Both sexes","Number","248458"
"FY001C01","Population at Each Census","1871","1871","19","Galway","1","Male","Number","122496"
"FY001C01","Population at Each Census","1871","1871","19","Galway","2","Female","Number","125962"
"FY001C01","Population at Each Census","1871","1871","20","Leitrim","-","Both sexes","Number","95562"
"FY001C01","Population at Each Census","1871","1871","20","Leitrim","1","Male","Number","47724"
"FY001C01","Population at Each Census","1871","1871","20","Leitrim","2","Female","Number","47838"
"FY001C01","Population at Each Census","1871","1871","21","Mayo","-","Both sexes","Number","246030"
"FY001C01","Population at Each Census","1871","1871","21","Mayo","1","Male","Number","120877"
"FY001C01","Population at Each Census","1871","1871","21","Mayo","2","Female","Number","125153"
"FY001C01","Population at Each Census","1871","1871","22","Roscommon","-","Both sexes","Number","140670"
"FY001C01","Population at Each Census","1871","1871","22","Roscommon","1","Male","Number","70647"
"FY001C01","Population at Each Census","1871","1871","22","Roscommon","2","Female","Number","70023"
"FY001C01","Population at Each Census","1871","1871","23","Sligo","-","Both sexes","Number","115493"
"FY001C01","Population at Each Census","1871","1871","23","Sligo","1","Male","Number","56984"
"FY001C01","Population at Each Census","1871","1871","23","Sligo","2","Female","Number","58509"
"FY001C01","Population at Each Census","1871","1871","24","Cavan","-","Both sexes","Number","140735"
"FY001C01","Population at Each Census","1871","1871","24","Cavan","1","Male","Number","70479"
"FY001C01","Population at Each Census","1871","1871","24","Cavan","2","Female","Number","70256"
"FY001C01","Population at Each Census","1871","1871","25","Donegal","-","Both sexes","Number","218334"
"FY001C01","Population at Each Census","1871","1871","25","Donegal","1","Male","Number","106080"
"FY001C01","Population at Each Census","1871","1871","25","Donegal","2","Female","Number","112254"
"FY001C01","Population at Each Census","1871","1871","26","Monaghan","-","Both sexes","Number","114969"
"FY001C01","Population at Each Census","1871","1871","26","Monaghan","1","Male","Number","55961"
"FY001C01","Population at Each Census","1871","1871","26","Monaghan","2","Female","Number","59008"
"FY001C01","Population at Each Census","1881","1881","-","State","-","Both sexes","Number","3870020"
"FY001C01","Population at Each Census","1881","1881","-","State","1","Male","Number","1912438"
"FY001C01","Population at Each Census","1881","1881","-","State","2","Female","Number","1957582"
"FY001C01","Population at Each Census","1881","1881","01","Carlow","-","Both sexes","Number","46568"
"FY001C01","Population at Each Census","1881","1881","01","Carlow","1","Male","Number","23078"
"FY001C01","Population at Each Census","1881","1881","01","Carlow","2","Female","Number","23490"
"FY001C01","Population at Each Census","1881","1881","02","Dublin","-","Both sexes","Number","418910"
"FY001C01","Population at Each Census","1881","1881","02","Dublin","1","Male","Number","197740"
"FY001C01","Population at Each Census","1881","1881","02","Dublin","2","Female","Number","221170"
"FY001C01","Population at Each Census","1881","1881","03","Kildare","-","Both sexes","Number","75804"
"FY001C01","Population at Each Census","1881","1881","03","Kildare","1","Male","Number","40701"
"FY001C01","Population at Each Census","1881","1881","03","Kildare","2","Female","Number","35103"
"FY001C01","Population at Each Census","1881","1881","04","Kilkenny","-","Both sexes","Number","99531"
"FY001C01","Population at Each Census","1881","1881","04","Kilkenny","1","Male","Number","48971"
